Date of Joining,Gender,Job Division,WFH Setup Available,Designation Grade,Resource Allocation,Mental Fatigue Score,Burn Rate
21-09-2008,Female,Product,No,1,2,1.8,0.05
01-02-2008,Female,Service,Yes,0,2,2.9,0.21
16-05-2008,Male,Service,No,2,5,8.4,0.65
11-09-2008,Female,Service,Yes,1,1,2.2,0.09
08-11-2008,Female,Service,Yes,2,3,3.6,0.25
19-02-2008,Female,Product,No,2,5,5.6,0.53
06-10-2008,Female,Product,Yes,2,6,7.7,0.56
16-01-2008,Female,Service,Yes,1,3,6.4,0.41
07-09-2008,Male,Service,No,4,8,7.4,0.59
02-06-2008,Male,Service,Yes,2,6,6.7,0.55
29-05-2008,Male,Service,No,3,5,6.5,0.42
23-11-2008,Male,Service,Yes,0,1,2.9,0.09
09-11-2008,Female,Product,No,2,4,6.2,0.39
05-11-2008,Male,Product,No,1,2,,0.3
30-09-2008,Female,Product,Yes,2,4,5.8,0.4
24-04-2008,Male,Service,Yes,2,4,6.7,0.49
02-01-2008,Male,Service,No,2,4,7.3,0.6
25-06-2008,Male,Product,No,1,2,6.6,0.48
02-02-2008,Male,Service,No,2,4,4.2,0.37
14-06-2008,Male,Service,Yes,2,4,,0.44
16-11-2008,Female,Service,Yes,0,1,1.8,0.09
04-02-2008,Male,Product,No,2,1,2.3,0.06
16-06-2008,Female,Product,No,1,2,4.8,0.28
29-09-2008,Male,Service,No,3,7,,0.68
23-03-2008,Male,Product,Yes,2,6,7,0.69
08-09-2008,Female,Product,No,3,6,4.8,0.36
19-08-2008,Male,Service,No,3,6,7.1,0.67
02-03-2008,Male,Service,Yes,3,7,6.2,0.52
05-03-2008,Female,Service,Yes,3,4,6.5,
06-04-2008,Female,Service,No,2,4,4.3,0.21
31-12-2008,Male,Product,Yes,0,1,1,0.02
19-04-2008,Male,Product,No,2,3,,0.41
19-10-2008,Female,Product,No,3,5,5.1,0.39
12-03-2008,Female,Service,No,4,9,9.3,0.99
02-12-2008,Female,Product,No,3,5,5.9,0.52
01-06-2008,Female,Service,Yes,1,1,3.9,0.29
01-01-2008,Female,Service,No,3,5,5.2,0.47
14-06-2008,Female,Product,No,4,7,8.7,0.69
14-11-2008,Male,Product,No,2,6,7.5,0.67
24-02-2008,Male,Product,No,2,6,8.2,0.7
26-11-2008,Female,Product,No,2,,4.7,0.41
23-11-2008,Male,Service,Yes,0,1,2.2,0.17
29-07-2008,Male,Service,No,2,,5.8,0.42
01-08-2008,Female,Service,Yes,2,5,7,0.56
17-01-2008,Male,Service,Yes,3,5,5.3,0.44
24-06-2008,Female,Product,No,2,6,6.3,0.61
23-01-2008,Female,Service,Yes,0,1,3.5,0.19
14-07-2008,Male,Service,No,1,4,7,
25-06-2008,Female,Product,No,3,8,7.6,0.72
28-07-2008,Male,Service,No,2,4,,0.53
09-07-2008,Female,Service,No,4,7,7.8,0.76
18-09-2008,Male,Service,No,2,6,7.5,0.58
27-11-2008,Male,Product,Yes,1,3,6.1,
14-05-2008,Female,Product,No,4,6,7.4,0.63
21-05-2008,Female,Service,Yes,2,5,,0.49
30-12-2008,Female,Service,No,1,3,5,0.33
04-09-2008,Female,Product,No,2,5,8.8,0.71
01-06-2008,Male,Product,Yes,0,1,0.2,0
08-09-2008,Female,Product,No,1,4,,0.37
05-01-2008,Male,Product,Yes,2,3,2.4,0.15
12-01-2008,Male,Service,No,3,5,6.3,0.41
27-09-2008,Male,Product,No,3,8,8.4,0.74
07-01-2008,Male,Service,No,2,6,6.5,0.52
23-10-2008,Male,Service,Yes,2,4,4.4,0.38
02-07-2008,Female,Product,No,3,5,7,0.48
23-01-2008,Male,Product,Yes,2,4,4.3,0.27
02-04-2008,Male,Product,Yes,1,4,4.2,0.31
20-08-2008,Female,Service,Yes,2,5,5.7,0.5
11-02-2008,Female,Service,No,3,7,9,0.74
08-06-2008,Male,Service,Yes,2,4,4.6,0.33
26-05-2008,Male,Service,Yes,2,5,8.4,0.65
29-08-2008,Female,Product,Yes,0,1,1.6,0.1
18-10-2008,Male,Product,Yes,1,3,5.5,0.47
01-02-2008,Male,Service,No,4,7,7.5,0.68
25-03-2008,Male,Service,Yes,2,4,4.6,0.38
15-03-2008,Female,Product,No,2,3,4.6,0.3
23-07-2008,Female,Service,Yes,2,,6.1,
22-01-2008,Male,Product,Yes,2,3,2,0.13
19-07-2008,Female,Product,Yes,2,3,3.8,0.2
07-10-2008,Female,Service,Yes,3,,6.1,0.48
12-09-2008,Female,Service,Yes,0,1,4.8,0.24
07-08-2008,Male,Service,No,4,6,6.1,0.57
26-01-2008,Male,Product,Yes,2,5,5.4,0.45
08-01-2008,Male,Service,No,3,7,7.4,0.58
25-10-2008,Female,Service,Yes,1,3,7,0.5
10-06-2008,Male,Service,Yes,2,4,6.2,0.6
02-04-2008,Male,Service,No,4,8,,0.57
03-08-2008,Male,Service,Yes,1,3,4,0.27
25-05-2008,Female,Product,Yes,1,4,,0.32
16-07-2008,Male,Service,No,2,6,8.1,0.72
28-11-2008,Male,Service,Yes,3,5,6.2,0.61
13-07-2008,Female,Service,No,4,6,,0.67
09-04-2008,Female,Service,No,3,5,6.9,0.49
03-01-2008,Male,Product,Yes,3,5,4.2,0.35
02-03-2008,Male,Service,Yes,3,,8,0.67
28-02-2008,Male,Service,Yes,3,5,5.8,0.4
01-11-2008,Male,Product,Yes,2,4,5.1,0.4
14-04-2008,Female,Service,No,3,4,5.8,0.4
01-07-2008,Female,Service,Yes,3,5,6.1,0.47
31-10-2008,Female,Service,Yes,4,6,,0.67
03-02-2008,Female,Product,No,4,7,8.5,0.67
14-09-2008,Female,Service,No,4,6,7.7,0.62
12-07-2008,Female,Service,No,3,6,5.7,0.48
13-09-2008,Male,Service,No,2,6,7.4,0.65
12-08-2008,Male,Service,Yes,0,1,0,0
23-08-2008,Female,Service,Yes,3,6,4.3,0.38
26-09-2008,Male,Product,No,4,7,7.5,0.66
30-11-2008,Male,Service,No,3,6,8.7,0.77
02-09-2008,Female,Service,No,2,5,6.4,0.47
01-03-2008,Female,Service,Yes,2,3,,0.46
20-02-2008,Male,Product,Yes,1,2,5,0.4
19-12-2008,Female,Service,Yes,2,5,6,0.4
15-01-2008,Female,Product,Yes,1,4,5.6,
02-04-2008,Male,Service,No,3,5,6.7,0.46
06-12-2008,Male,Service,No,3,6,6.5,0.64
27-09-2008,Male,Service,Yes,2,5,6.9,0.46
10-03-2008,Female,Service,Yes,2,3,,0.02
20-08-2008,Female,Service,Yes,2,4,2.9,0.17
13-02-2008,Male,Service,Yes,4,7,7.1,0.66
24-10-2008,Male,Service,No,3,6,6,0.54
22-01-2008,Female,Product,No,1,,4.9,0.34
29-12-2008,Female,Product,Yes,0,2,4.7,0.24
15-01-2008,Female,Service,No,2,3,7,0.47
02-08-2008,Female,Service,No,0,1,1,0
27-06-2008,Female,Service,Yes,3,4,6.2,0.47
17-08-2008,Male,Product,No,3,6,9.3,0.8
16-02-2008,Female,Service,No,3,7,6.8,0.68
22-08-2008,Male,Service,Yes,0,2,4,
22-07-2008,Female,Service,Yes,3,8,8.9,0.79
06-08-2008,Male,Service,Yes,3,5,7,0.47
11-01-2008,Female,Service,No,2,3,4.4,0.29
19-12-2008,Female,Product,No,2,5,9,0.76
23-05-2008,Male,Product,Yes,2,4,7.2,0.49
21-12-2008,Male,Service,Yes,2,5,5,0.44
29-09-2008,Male,Service,Yes,0,1,3.4,0.15
15-09-2008,Female,Service,Yes,1,3,6.3,0.44
14-06-2008,Female,Service,No,2,5,7.6,0.67
23-10-2008,Female,Product,Yes,0,1,3.7,0.19
27-10-2008,Female,Service,Yes,3,4,4.2,0.28
28-04-2008,Male,Service,No,5,9,10,1
16-08-2008,Male,Service,Yes,3,5,6.2,0.5
07-12-2008,Male,Service,No,2,7,,0.73
25-12-2008,Female,Service,Yes,1,4,5.7,0.39
09-10-2008,Male,Product,Yes,3,7,8.1,0.76
06-08-2008,Female,Service,No,2,4,6.2,0.42
23-03-2008,Male,Product,Yes,1,4,5.5,0.42
11-06-2008,Male,Product,No,3,,8.5,0.66
13-10-2008,Male,Service,No,3,8,8.4,0.72
20-10-2008,Female,Product,Yes,2,4,6,0.38
29-12-2008,Male,Product,No,2,7,7.7,0.76
23-02-2008,Male,Service,No,4,7,8.2,0.66
05-03-2008,Male,Service,No,1,4,4.6,0.39
05-09-2008,Male,Product,No,2,5,5.7,0.52
27-10-2008,Female,Service,Yes,1,1,2.9,0.17
11-03-2008,Female,Service,Yes,3,7,7.8,0.7
27-02-2008,Female,Service,No,3,5,7,
02-02-2008,Male,Service,No,4,8,7.8,0.72
06-03-2008,Female,Product,Yes,4,6,7.1,0.62
25-05-2008,Male,Service,No,4,7,7.9,0.67
04-01-2008,Female,Service,No,2,3,5.5,0.43
22-04-2008,Male,Product,No,4,8,8.6,0.74
21-05-2008,Male,Product,Yes,1,4,5.2,0.33
19-01-2008,Female,Service,No,3,5,5,0.41
20-10-2008,Male,Service,No,4,7,7,0.62
17-12-2008,Female,Service,Yes,3,5,6.2,0.39
08-07-2008,Female,Service,No,0,1,0.5,0
04-02-2008,Male,Service,Yes,1,4,7.6,0.55
10-10-2008,Male,Product,No,3,5,6.9,0.52
23-07-2008,Female,Product,Yes,1,4,5.1,0.41
22-10-2008,Female,Product,No,1,2,4.8,0.41
14-08-2008,Female,Product,No,2,5,7.2,0.56
20-07-2008,Female,Service,No,4,8,7.4,0.77
30-06-2008,Male,Product,Yes,2,2,3.9,0.27
07-09-2008,Female,Product,No,2,4,4.3,0.34
27-04-2008,Male,Service,Yes,1,3,5.7,0.44
25-05-2008,Male,Service,No,5,8,8.4,0.77
23-08-2008,Female,Service,No,1,2,2.2,0.16
06-07-2008,Male,Service,No,2,6,5.8,0.53
22-03-2008,Male,Product,Yes,2,4,4.6,0.36
16-09-2008,Female,Service,Yes,4,7,6.7,0.63
10-09-2008,Female,Product,No,4,8,8.4,0.86
23-05-2008,Male,Service,No,4,7,7.6,0.78
22-02-2008,Male,Service,Yes,0,1,2.5,0.15
25-06-2008,Male,Service,Yes,1,3,4.2,0.34
15-02-2008,Female,Product,Yes,2,3,6.2,0.44
23-10-2008,Female,Service,No,3,6,6.2,0.61
03-07-2008,Male,Product,Yes,5,9,8,0.77
21-05-2008,Female,Service,No,3,6,6.7,0.44
28-06-2008,Female,Product,Yes,3,4,5.5,0.42
05-05-2008,Female,Service,Yes,1,3,4.4,0.29
13-07-2008,Female,Service,Yes,2,3,5.1,0.31
14-09-2008,Female,Product,Yes,3,5,,0.43
07-10-2008,Male,Product,Yes,2,4,2.7,0.21
28-01-2008,Female,Service,No,1,3,4.3,0.35
18-12-2008,Female,Product,Yes,3,6,5.8,0.56
09-04-2008,Female,Product,No,3,6,5.8,0.53
25-01-2008,Female,Service,Yes,4,7,6.9,0.64
30-07-2008,Female,Service,Yes,1,3,2.3,0.15
09-11-2008,Male,Service,Yes,2,3,,0.36
31-10-2008,Female,Product,Yes,1,4,7,0.48
04-02-2008,Male,Product,Yes,2,5,5.8,0.45
09-02-2008,Female,Service,Yes,2,4,6.9,0.46
19-10-2008,Male,Service,No,5,8,8.4,0.85
05-08-2008,Female,Product,Yes,1,3,4.8,0.35
13-04-2008,Female,Service,No,3,5,6.1,0.47
22-08-2008,Female,Product,No,3,7,7.1,0.6
18-05-2008,Female,Product,Yes,2,3,3.1,0.24
12-09-2008,Male,Service,No,4,7,7.2,0.73
04-03-2008,Female,Service,Yes,2,4,6.7,0.48
17-05-2008,Male,Service,Yes,1,3,5.1,0.41
23-09-2008,Female,Service,Yes,1,3,5.2,0.32
20-07-2008,Female,Product,Yes,1,,4.6,0.27
12-05-2008,Female,Product,No,3,7,8.1,0.83
04-05-2008,Female,Product,No,4,8,8,
08-06-2008,Female,Service,Yes,0,1,3.8,0.24
01-04-2008,Male,Product,No,1,2,5.8,0.42
10-02-2008,Female,Product,No,1,2,6.1,0.37
24-03-2008,Female,Product,Yes,1,3,5.9,0.41
08-07-2008,Female,Service,Yes,2,2,3.3,0.23
13-07-2008,Male,Product,No,4,9,8.5,0.86
10-02-2008,Male,Product,No,2,7,7.1,0.71
13-08-2008,Male,Service,Yes,3,6,5.5,0.48
19-07-2008,Male,Product,No,4,,6.9,0.61
26-10-2008,Female,Service,Yes,3,6,5.3,0.44
04-07-2008,Male,Service,Yes,1,2,,0.28
19-11-2008,Male,Service,No,3,5,7.4,0.69
10-02-2008,Female,Product,Yes,3,6,7.4,0.66
02-07-2008,Male,Service,Yes,4,7,8.2,0.84
01-09-2008,Male,Service,No,3,7,9.3,0.78
01-11-2008,Female,Product,No,4,7,7.7,0.55
08-10-2008,Male,Service,Yes,2,5,5.5,0.43
05-12-2008,Male,Product,Yes,1,3,6,0.42
03-08-2008,Male,Service,Yes,3,6,6.5,0.51
19-08-2008,Female,Product,Yes,2,5,6.7,0.43
08-08-2008,Female,Service,Yes,1,2,4.9,0.34
22-11-2008,Male,Service,Yes,2,3,,0.37
30-06-2008,Female,Service,Yes,2,,4.9,0.41
11-08-2008,Female,Product,No,3,6,8.7,0.69
05-03-2008,Female,Product,Yes,2,5,6.5,0.48
24-04-2008,Male,Service,Yes,3,5,5,0.46
20-06-2008,Male,Service,Yes,3,5,,0.62
31-03-2008,Female,Service,Yes,0,1,0,0.01
25-07-2008,Male,Service,No,2,5,,0.68
07-04-2008,Male,Product,No,3,5,6.7,0.47
09-12-2008,Female,Service,Yes,2,4,6.9,0.61
08-06-2008,Female,Service,No,2,5,6.5,0.53
20-09-2008,Female,Service,No,2,4,3.5,0.29
08-05-2008,Male,Service,No,3,,6.8,0.58
14-12-2008,Male,Service,No,3,5,6.9,0.68
16-07-2008,Female,Service,No,2,5,6.7,0.65
17-07-2008,Female,Service,No,3,5,6.1,0.49
18-08-2008,Female,Service,Yes,3,6,6.3,0.55
27-08-2008,Female,Service,No,2,4,4.6,0.38
18-12-2008,Male,Service,No,2,4,6.6,0.51
19-01-2008,Female,Service,Yes,1,3,5.8,0.36
11-12-2008,Male,Service,Yes,2,3,5.2,0.28
09-10-2008,Female,Product,Yes,0,1,3,0.19
22-03-2008,Female,Product,No,4,6,7.3,0.54
09-11-2008,Female,Service,Yes,1,4,5.7,
19-06-2008,Female,Service,Yes,4,7,5.9,0.48
23-02-2008,Male,Service,Yes,3,7,8,0.7
31-03-2008,Male,Product,Yes,0,1,0,0
27-04-2008,Female,Product,No,1,1,3.4,
12-05-2008,Female,Service,Yes,3,5,6.6,0.48
18-11-2008,Female,Service,No,4,8,7.2,0.56
27-12-2008,Male,Service,No,4,8,7,0.51
19-02-2008,Female,Service,No,4,6,7,0.59
06-10-2008,Female,Product,Yes,1,2,2.6,0.2
03-02-2008,Male,Service,No,2,4,7.9,0.65
27-10-2008,Male,Service,No,2,5,7.8,0.58
27-07-2008,Male,Service,Yes,1,4,5.8,0.37
29-01-2008,Female,Product,Yes,1,2,5.4,0.41
27-04-2008,Male,Product,No,2,6,8.4,0.66
17-01-2008,Female,Service,No,4,8,8.9,0.75
23-12-2008,Male,Service,Yes,4,7,6.5,0.64
05-11-2008,Male,Service,Yes,1,3,5.9,0.47
26-12-2008,Male,Service,Yes,2,3,5.2,0.44
06-11-2008,Male,Service,Yes,1,4,7.2,0.55
02-10-2008,Male,Product,Yes,3,6,6,0.57
28-11-2008,Female,Product,No,3,6,6.4,0.61
10-11-2008,Female,Service,Yes,3,5,6.3,0.43
11-04-2008,Female,Service,Yes,2,3,4.5,0.28
31-01-2008,Female,Service,No,2,,7.5,0.67
25-05-2008,Male,Service,No,3,7,6.5,0.53
09-10-2008,Male,Product,No,4,7,5.8,0.55
15-03-2008,Female,Product,Yes,2,4,6.9,0.49
07-06-2008,Male,Service,Yes,4,6,5.7,0.49
18-04-2008,Male,Product,Yes,1,3,6.8,0.46
10-03-2008,Male,Product,Yes,2,2,3.3,0.21
28-04-2008,Female,Product,Yes,1,,3.7,0.24
16-11-2008,Female,Product,No,3,,,0.8
28-03-2008,Male,Service,No,2,5,7.9,
23-04-2008,Female,Product,Yes,3,4,,0.29
14-11-2008,Female,Product,Yes,2,5,,0.38
23-03-2008,Female,Service,No,1,,5.1,0.37
05-05-2008,Male,Service,Yes,3,5,6.2,0.38
19-08-2008,Female,Service,Yes,2,5,6.1,0.51
19-11-2008,Female,Service,Yes,1,1,4.1,0.19
03-07-2008,Male,Service,No,3,6,5.8,0.54
12-02-2008,Female,Product,Yes,3,5,4.9,0.45
15-12-2008,Female,Product,No,3,5,7.3,0.63
01-09-2008,Male,Service,No,4,,6.9,0.63
06-11-2008,Male,Service,No,3,5,7.6,0.61
23-01-2008,Male,Service,No,2,6,7.2,0.54
14-04-2008,Female,Service,Yes,2,4,4.5,0.23
29-05-2008,Male,Service,Yes,3,6,6.5,0.5
12-02-2008,Male,Service,No,2,4,,
23-11-2008,Male,Service,Yes,1,,4.6,0.26
26-02-2008,Female,Product,No,1,,5.9,0.39
25-06-2008,Female,Service,No,2,4,5.9,0.55
19-04-2008,Female,Product,Yes,2,5,,0.44
03-12-2008,Male,Service,No,4,7,6.2,0.53
16-01-2008,Male,Product,No,3,6,8.1,0.83
27-11-2008,Male,Service,Yes,1,4,6.7,0.45
04-11-2008,Male,Service,No,3,4,6.6,
12-01-2008,Female,Service,Yes,3,4,5,0.45
24-10-2008,Male,Service,Yes,4,6,,0.58
11-07-2008,Male,Service,No,2,6,,0.64
16-04-2008,Male,Service,Yes,5,10,10,1
12-06-2008,Female,Product,Yes,3,7,8.1,0.6
14-02-2008,Male,Service,Yes,2,4,5.4,0.38
13-05-2008,Male,Service,Yes,1,2,6,0.45
20-07-2008,Male,Product,No,2,4,,0.17
01-01-2008,Male,Service,Yes,2,4,5.2,0.33
17-03-2008,Female,Service,Yes,2,5,3.9,
15-04-2008,Female,Service,Yes,2,5,7,0.51
24-07-2008,Male,Service,Yes,3,4,4.9,0.4
11-08-2008,Female,Service,No,3,6,8,0.59
18-11-2008,Female,Service,Yes,1,4,5.4,0.42
12-05-2008,Male,Service,No,3,7,7.8,0.79
08-12-2008,Female,Service,No,3,7,8.9,0.7
09-06-2008,Female,Service,Yes,2,4,3.2,0.16
17-11-2008,Female,Service,Yes,4,6,6.2,0.58
02-12-2008,Female,Product,No,4,6,7.3,0.52
24-02-2008,Female,Product,Yes,1,4,4.4,
29-03-2008,Female,Product,Yes,2,4,6.1,0.54
19-01-2008,Female,Product,Yes,3,4,6.4,0.48
15-08-2008,Female,Product,Yes,1,2,4.1,
17-06-2008,Male,Product,No,2,5,6.5,0.51
04-06-2008,Female,Service,Yes,2,5,5.1,0.47
02-02-2008,Female,Service,Yes,1,1,3.7,0.22
22-10-2008,Male,Product,No,2,5,,0.59
13-07-2008,Female,Service,No,3,7,5.7,0.54
15-10-2008,Female,Product,Yes,1,2,,0.36
25-09-2008,Male,Service,Yes,0,3,4.7,0.34
12-12-2008,Male,Service,Yes,1,5,5.7,0.51
09-02-2008,Female,Service,No,0,1,3.2,0.22
16-09-2008,Female,Service,Yes,3,6,5.2,0.37
18-02-2008,Female,Service,No,4,6,,0.65
28-11-2008,Female,Product,Yes,3,6,6.4,0.59
11-04-2008,Male,Product,Yes,3,4,6.2,0.49
25-12-2008,Female,Product,Yes,0,1,,0.08
31-01-2008,Female,Service,Yes,2,2,4.1,0.21
13-07-2008,Male,Service,No,3,6,6.4,0.61
11-04-2008,Female,Service,Yes,3,6,5.1,0.45
23-02-2008,Female,Service,No,3,6,8.8,0.7
13-10-2008,Male,Service,Yes,3,5,6.8,
03-11-2008,Male,Service,No,2,6,7.5,0.53
06-04-2008,Male,Service,Yes,2,3,4.6,0.42
30-05-2008,Male,Product,No,3,4,6,0.39
19-05-2008,Female,Service,Yes,1,2,4.6,0.36
06-09-2008,Female,Service,No,4,,7.7,0.75
06-04-2008,Female,Service,No,4,8,5.4,0.51
13-01-2008,Female,Service,No,1,,5.2,0.32
31-12-2008,Male,Service,No,4,,5.9,0.54
01-04-2008,Female,Product,Yes,1,3,4.7,0.32
23-07-2008,Female,Product,No,2,,,0.6
30-09-2008,Male,Service,Yes,1,3,3.9,0.32
09-11-2008,Male,Product,Yes,2,4,,0.47
31-03-2008,Female,Service,Yes,1,3,5.8,0.36
04-01-2008,Male,Service,No,2,4,,0.38
29-01-2008,Male,Service,No,3,6,6.8,0.58
21-09-2008,Female,Service,Yes,2,3,5.5,0.33
28-11-2008,Male,Product,No,4,8,8.3,0.65
22-07-2008,Male,Service,No,1,2,4.8,0.34
11-01-2008,Female,Service,No,0,2,3.8,0.15
02-07-2008,Female,Service,No,1,1,0.8,0
27-10-2008,Male,Service,Yes,1,,5.3,0.39
14-02-2008,Male,Service,No,3,6,7.7,0.56
13-10-2008,Male,Service,No,4,6,7.3,0.64
21-05-2008,Male,Service,Yes,2,4,5.4,0.38
09-08-2008,Male,Product,Yes,2,4,5.2,0.36
03-04-2008,Female,Product,Yes,3,6,5.6,0.36
20-04-2008,Male,Service,No,1,2,3.2,0.24
26-03-2008,Female,Service,Yes,2,3,4.6,0.39
27-06-2008,Female,Product,Yes,3,5,,0.42
20-10-2008,Male,Product,Yes,1,2,6,0.4
22-02-2008,Female,Service,Yes,4,8,9,0.85
22-02-2008,Male,Service,Yes,1,4,4.8,0.41
26-10-2008,Male,Service,No,2,3,,0.45
09-05-2008,Male,Service,No,1,3,,0.56
20-11-2008,Female,Service,No,1,,5.8,0.42
07-05-2008,Male,Service,No,4,8,7.1,0.63
27-01-2008,Male,Service,Yes,2,3,,0.41
05-07-2008,Male,Service,Yes,1,3,5.2,0.37
27-02-2008,Male,Product,No,2,5,5.6,0.5
14-03-2008,Female,Service,Yes,3,6,4.3,0.36
30-10-2008,Male,Service,No,4,8,9.4,1
24-10-2008,Male,Service,No,2,4,3,0.23
25-08-2008,Female,Service,No,3,7,9,0.73
22-01-2008,Male,Product,Yes,0,1,2,0.08
18-01-2008,Female,Product,No,2,6,7.7,0.66
05-01-2008,Female,Service,Yes,1,2,0.2,0
22-04-2008,Male,Service,Yes,2,4,5,0.45
01-12-2008,Male,Product,No,1,3,3.9,0.25
23-08-2008,Male,Service,No,2,7,7.8,0.72
27-02-2008,Male,Service,No,4,7,6.7,0.65
12-12-2008,Female,Service,Yes,0,2,2.5,0.15
02-07-2008,Female,Service,Yes,2,4,5,0.39
19-05-2008,Female,Product,Yes,2,5,5.8,0.39
05-01-2008,Female,Service,Yes,4,6,,0.68
17-03-2008,Female,Product,No,2,6,7.3,0.55
17-07-2008,Male,Service,Yes,3,6,7.6,0.63
16-09-2008,Female,Product,Yes,2,3,4.8,0.33
29-10-2008,Female,Service,Yes,1,2,6.2,0.5
06-05-2008,Female,Service,Yes,1,2,4.2,0.25
27-01-2008,Male,Service,Yes,3,7,7.6,0.71
14-05-2008,Female,Service,No,3,4,6.6,0.48
15-04-2008,Male,Service,Yes,4,8,7.5,0.71
18-06-2008,Male,Service,Yes,3,4,4.8,0.32
02-05-2008,Female,Service,Yes,3,5,6.4,0.64
07-02-2008,Male,Service,No,1,4,5.2,
15-09-2008,Female,Product,Yes,1,2,,0.36
09-02-2008,Female,Product,No,0,2,2,0.14
09-04-2008,Female,Product,No,3,6,8.4,0.87
30-03-2008,Female,Service,No,3,5,5.8,0.51
31-10-2008,Male,Product,No,2,5,6.3,0.45
25-11-2008,Male,Product,Yes,3,5,6.6,0.47
22-09-2008,Male,Service,No,3,7,8.2,0.7
03-03-2008,Male,Service,Yes,1,3,,0.35
05-10-2008,Female,Service,Yes,3,5,4.6,0.36
26-12-2008,Female,Product,No,4,7,6,0.56
24-02-2008,Female,Service,Yes,2,2,3.2,0.23
26-12-2008,Female,Service,No,4,9,8.7,0.78
15-04-2008,Male,Service,No,1,2,4.8,0.43
25-08-2008,Male,Service,Yes,2,,5.6,0.43
29-06-2008,Female,Service,No,3,7,7.9,0.59
18-07-2008,Female,Service,Yes,2,3,4.5,0.31
29-01-2008,Female,Service,Yes,3,5,4.8,0.33
02-09-2008,Male,Product,No,2,5,6.7,0.64
08-03-2008,Male,Product,No,3,,6.6,0.63
26-10-2008,Female,Service,No,4,7,7.5,0.64
11-10-2008,Female,Service,Yes,2,3,3.2,0.23
15-05-2008,Male,Service,Yes,2,4,5.2,0.35
13-01-2008,Female,Product,Yes,1,1,1.7,0.05
11-05-2008,Male,Service,No,3,5,,
01-07-2008,Female,Product,No,4,9,10,1
14-10-2008,Female,Product,No,4,7,7.8,0.58
14-01-2008,Male,Service,Yes,1,3,4.3,0.28
15-12-2008,Female,Product,No,3,6,,0.52
01-11-2008,Male,Service,Yes,0,1,2.6,0.14
22-04-2008,Male,Product,No,2,3,3.5,0.23
06-08-2008,Male,Product,Yes,5,8,7.3,0.71
13-12-2008,Male,Service,Yes,2,4,4.2,0.32
23-05-2008,Female,Service,Yes,1,3,5.1,0.31
09-03-2008,Male,Service,Yes,2,4,6.2,0.4
30-10-2008,Male,Service,No,3,5,,
04-04-2008,Male,Product,No,1,2,5.5,0.34
03-10-2008,Male,Service,Yes,2,3,,0.2
07-04-2008,Male,Product,Yes,1,4,7.3,0.51
31-12-2008,Male,Product,Yes,1,4,7.2,0.56
21-11-2008,Male,Product,No,3,7,8.8,0.75
18-12-2008,Male,Service,Yes,2,5,4.4,0.38
21-11-2008,Female,Service,Yes,3,6,7.6,
06-10-2008,Female,Service,Yes,2,,6.2,0.48
08-10-2008,Female,Service,Yes,3,6,6.9,0.49
26-10-2008,Male,Product,Yes,1,4,,0.31
02-07-2008,Female,Product,Yes,3,6,8.6,0.82
28-03-2008,Male,Product,Yes,3,6,4.9,0.35
10-06-2008,Female,Product,No,3,6,7.1,0.55
02-05-2008,Female,Service,No,2,4,,
26-08-2008,Male,Service,No,3,6,6.9,0.55
18-11-2008,Male,Service,Yes,2,6,6.4,0.53
29-11-2008,Female,Product,Yes,2,,,0.25
07-08-2008,Male,Product,No,2,5,4.8,0.34
20-09-2008,Female,Service,Yes,3,4,4.3,0.38
29-04-2008,Female,Product,Yes,1,1,2.7,0.08
29-02-2008,Female,Service,No,2,5,6,0.4
12-08-2008,Female,Service,Yes,1,2,4.7,0.33
31-08-2008,Female,Service,Yes,2,3,5.2,
17-01-2008,Female,Service,Yes,2,5,,0.33
15-08-2008,Female,Service,Yes,1,3,5.7,
08-07-2008,Female,Service,Yes,2,2,3.1,0.24
08-06-2008,Male,Product,Yes,2,4,7.7,0.66
07-07-2008,Male,Service,Yes,2,5,6.8,0.57
21-12-2008,Female,Service,No,5,10,8.4,0.77
09-10-2008,Male,Service,Yes,1,,2.6,0.14
27-12-2008,Female,Product,Yes,4,7,8.2,0.64
10-12-2008,Female,Service,No,4,8,8.6,0.84
09-04-2008,Male,Product,Yes,5,10,7.6,0.74
11-11-2008,Female,Service,Yes,1,3,5.2,
03-05-2008,Male,Service,No,4,6,6.4,0.59
20-09-2008,Male,Product,No,4,9,8.7,0.71
13-03-2008,Female,Service,Yes,1,,5.2,0.33
20-05-2008,Female,Product,Yes,2,,6,0.41
13-11-2008,Male,Service,Yes,2,,5.7,0.39
01-03-2008,Female,Service,Yes,1,3,,0.4
16-12-2008,Female,Service,Yes,1,2,4,0.21
13-07-2008,Male,Service,Yes,3,5,3.9,0.3
22-03-2008,Female,Service,Yes,3,5,7.4,0.64
09-03-2008,Female,Product,No,3,5,6.9,0.47
15-09-2008,Male,Service,No,2,5,7.6,0.57
06-11-2008,Male,Service,No,5,8,8.6,0.87
17-07-2008,Male,Product,No,4,6,7,0.66
16-07-2008,Male,Product,Yes,1,4,6,0.48
26-11-2008,Male,Service,No,4,6,6.5,0.63
29-07-2008,Female,Product,No,2,5,5.6,
12-10-2008,Male,Product,Yes,0,1,2.1,0.09
03-01-2008,Male,Service,Yes,0,1,0.8,
02-09-2008,Female,Service,Yes,3,5,5.8,0.37
